experience_id,user,liked,shared,bucketlist,purchased,attended,score,age,avg_accomodation_cost,avg_transport_cost,name,description,adventureLevel,price,gender_Male,featured,rating
64fc9b6b3d690a3e195ee90a,1,0,0,0,0,0,0,35,1200,600,Trip to Nairobi Snake Park,"
Dive into the fascinating world of reptiles at Nairobi Snake Park. Witness an incredible variety of snakes and other reptiles up close. Expert guides provide insights into their behavior. Discover valuable information on snakebite prevention. It's a unique opportunity for nature enthusiasts and curious minds alike. Explore and appreciate Kenya's rich biodiversity at Nairobi Snake Park!



",6,5555,1,1,1.173120537
6507ee68313443081a27234a,1,0,0,0,0,0,0,35,1200,600,Nairobi Mamba Village,"Dive into an unforgettable reptilian adventure at Nairobi Mamba Village. This extraordinary sanctuary is a haven for crocodile enthusiasts and nature lovers alike. Witness the sheer power and grace of these ancient creatures during thrilling feeding sessions.

But Nairobi Mamba Village offers more than just crocodiles. Its lush gardens and tranquil ponds create a serene atmosphere, perfect for a leisurely stroll or a relaxing boat ride. The botanical beauty provides a refreshing contrast to the excitement of the crocodile encounters.

For those seeking a bit of culinary delight, the Mamba Restaurant serves up delectable dishes, including, of course, crocodile meat. It's a unique gastronomic experience you won't find elsewhere.

Whether you're an adventure seeker, a nature enthusiast, or simply in search of a memorable day out, Nairobi Mamba Village has something for everyone. Come and experience the thrill, beauty, and culinary delights that make this sanctuary a must-visit destination. Don't miss out on the unique experience that Nairobi Mamba Village offers!




",6,5555,1,1,1.173120537
64fc7a953d690a3e195ee83c,1,0,0,0,0,0,0,35,1200,600,Hangout with Giraffes,"Step into a world of wonder at the Giraffe Centre, where conservation meets unforgettable encounters. Get up close and personal with these gentle giants, hand-feeding them and learning about their fascinating behavior and conservation efforts.

Immerse yourself in the lush surroundings, where indigenous flora and fauna thrive. The elevated platform offers breathtaking views of Nairobi National Park, creating a picturesque backdrop for your giraffe rendezvous.

The Giraffe Centre isn't just about fun interactions; it's about education and conservation. Discover how this center is dedicated to the preservation of the endangered Rothschild's giraffe through crucial breeding programs and habitat protection.

By visiting the Giraffe Centre, you're not only creating memories but also actively contributing to the conservation of these majestic creatures. This experience promises a day of awe, insight, and a genuine connection with nature. Don't miss this chance to be part of something truly special!




",6.5,5555,1,0,1.173120537
64fc2511148fd2e0b23d5031,1,0,0,0,0,0,0,35,1200,600,Game Drive at Nairobi National Park,"Experience the best of both worlds at Nairobi National Park! Imagine witnessing lions, giraffes, and zebras against the backdrop of Nairobi's iconic skyline. This unique wildlife haven is practically in the heart of the city.

Get up close with incredible wildlife and discover over 400 bird species. It's a paradise for nature lovers and urban explorers alike. Don't miss this opportunity to enjoy the beauty of the wild within the city's embrace. Nairobi National Park - where urban meets the untamed!",6.5,5555,1,0,1.173120537
64fc2511148fd2e0b23d5031,1,1,1,1,1,0,4,35,1200,600,Game Drive at Nairobi National Park,"Experience the best of both worlds at Nairobi National Park! Imagine witnessing lions, giraffes, and zebras against the backdrop of Nairobi's iconic skyline. This unique wildlife haven is practically in the heart of the city.

Get up close with incredible wildlife and discover over 400 bird species. It's a paradise for nature lovers and urban explorers alike. Don't miss this opportunity to enjoy the beauty of the wild within the city's embrace. Nairobi National Park - where urban meets the untamed!",6.5,5555,1,0,1.173120537
64fc2511148fd2e0b23d5031,1,1,0,0,0,0,1,35,1200,600,Game Drive at Nairobi National Park,"Experience the best of both worlds at Nairobi National Park! Imagine witnessing lions, giraffes, and zebras against the backdrop of Nairobi's iconic skyline. This unique wildlife haven is practically in the heart of the city.

Get up close with incredible wildlife and discover over 400 bird species. It's a paradise for nature lovers and urban explorers alike. Don't miss this opportunity to enjoy the beauty of the wild within the city's embrace. Nairobi National Park - where urban meets the untamed!",6.5,5555,1,0,1.173120537
64fc90f13d690a3e195ee8e0,1,0,1,1,1,0,3,35,1200,600,Kazuri Beads Factory Tour,"Step into the world of Kazuri Beads Factory, where creativity meets empowerment. This enchanting workshop is a testament to the skill and artistry of Kenyan women, who craft exquisite ceramic beads and pottery.

Witness the intricate process as these talented artisans shape, paint, and glaze each bead by hand. The result? Unique, one-of-a-kind creations that reflect the vibrant culture of Kenya.

By supporting Kazuri, you're not just acquiring beautiful jewelry and pottery; you're empowering local women and contributing to sustainable, fair-trade practices. Each purchase directly impacts the lives of these artisans, providing them with fair wages, healthcare, and education.

Whether you're seeking a meaningful souvenir or simply appreciating the artistry, a visit to Kazuri Beads Factory is an opportunity to be part of a positive change. Come, experience the beauty of Kenyan craftsmanship and be a part of a story of empowerment and artistry.




",5.2,5555,1,1,1.173120537
64fc2511148fd2e0b23d5031,1,1,0,0,0,0,1,35,1200,600,Game Drive at Nairobi National Park,"Experience the best of both worlds at Nairobi National Park! Imagine witnessing lions, giraffes, and zebras against the backdrop of Nairobi's iconic skyline. This unique wildlife haven is practically in the heart of the city.

Get up close with incredible wildlife and discover over 400 bird species. It's a paradise for nature lovers and urban explorers alike. Don't miss this opportunity to enjoy the beauty of the wild within the city's embrace. Nairobi National Park - where urban meets the untamed!",6.5,5555,1,0,1.173120537
64fca2693d690a3e195ee94d,1,0,1,0,0,0,1,35,1200,600,Dive into the Fourteen Falls,"Fourteen Falls is nature's masterpiece. Witness the breathtaking waterfall surrounded by lush greenery. Capture the magic on a boat ride or from the viewing platforms. It's a haven for nature lovers, offering a day of adventure and serenity. Experience this marvel just a short trip from Nairobi. Don't miss the chance to be awed by Fourteen Falls!",6,5555,1,1,1.173120537
65285a2e66f321cbd9ef4ba0,1,1,0,0,0,0,1,35,1200,600,Boat Ride & Crescent Island Walking Safari,"Discover the enchanting Crescent Island with a Boat Ride and Walking Safari. Your adventure begins as we glide across the shimmering waters of Lake Naivasha to this exclusive private island. Once ashore, you'll be welcomed by a stunning array of wildlife, including impalas and graceful ostriches. A knowledgeable guide will illuminate the island's history, formed by volcanic activity, and how the submerged acacias represent its ever-changing story.

This walking safari is more than a nature stroll; it's a voyage through time. As you explore the island, you'll gain a profound appreciation for its evolving landscape and the remarkable creatures that inhabit it. Crescent Island beckons you to connect with the natural world and fosters a sense of stewardship for our environment.

Immerse yourself in the serenity of this sanctuary, where the bond between humanity and nature is palpable. The Boat Ride and Crescent Island Walking Safari is an invitation to join the island's story, witness nature's resilience, and embrace the call to preserve our planet's wonders.",6.6,4500,1,1,1.173120537
